Dia,mes,ano,Tmed,Tmin ,Tmax ,URmed,URmin,URmax,Vv2m,Hg,P,ETo,ETc,
*Dia ,Mês,Ano,(°C),(°C),(°C),(%),(%),(%),(m/s),(MJ m-2),(mm),(mm),(mm),
16,2,2020,26.54,21.95,32.25,69.65,44.11,87.00,1.57,20.45,0.51,4.74,4.74,
17,2,2020,27.06,23.20,32.37,68.82,42.84,86.50,1.60,20.37,0.51,4.80,4.80,
18,2,2020,26.98,23.59,32.52,68.60,38.36,84.20,1.71,21.56,1.78,5.22,,
19,2,2020,26.27,22.48,31.64,68.81,41.99,86.50,1.39,19.89,0.00,4.55,4.55,
20,2,2020,24.34,22.37,30.05,80.95,57.63,87.40,0.91,8.84,52.83,2.12,,
21,2,2020,25.47,21.97,29.71,79.50,60.94,86.70,1.31,15.72,4.82,3.35,,
22,2,2020,27.22,23.54,32.45,72.62,48.82,87.50,1.25,22.20,0.76,4.75,4.75,
23,2,2020,27.41,23.50,33.69,71.79,42.92,87.30,1.25,24.14,0.00,5.27,5.27,
24,2,2020,27.08,24.25,31.08,71.80,49.66,84.80,1.64,19.05,0.00,4.40,4.40,
25,2,2020,26.96,23.64,32.14,71.92,48.24,85.80,1.56,21.96,0.00,4.90,4.90,
26,2,2020,26.71,23.80,31.31,71.62,51.65,86.20,1.64,22.23,0.00,4.84,4.84,
27,2,2020,27.52,23.43,32.52,69.76,49.56,85.90,1.71,22.84,43.65,5.11,,
28,2,2020,27.97,24.44,32.80,69.24,43.71,83.80,1.83,23.29,0.00,5.47,5.47,
29,2,2020,27.16,23.67,31.57,69.22,48.34,86.80,1.64,21.91,0.00,4.88,4.88,
1,3,2020,26.67,22.48,31.76,66.70,40.88,86.50,1.29,22.39,0.00,4.91,4.91,
2,3,2020,26.59,22.32,31.28,67.41,44.89,84.60,1.22,19.57,0.00,4.33,4.33,
3,3,2020,27.03,22.91,32.08,68.53,44.82,85.70,1.31,20.61,0.00,4.60,4.60,
4,3,2020,27.73,23.82,32.28,67.71,45.77,84.20,1.68,17.87,0.00,4.42,4.42,
5,3,2020,28.03,23.70,34.52,66.61,34.36,86.60,1.61,33.94,0.00,7.39,7.39,
6,3,2020,28.16,23.88,33.95,66.93,36.19,85.10,1.74,24.39,0.00,5.86,5.86,
7,3,2020,27.10,23.38,31.97,70.88,47.00,84.70,1.14,18.10,0.00,4.05,4.05,
8,3,2020,26.75,22.46,32.13,70.09,44.98,86.90,1.36,21.19,0.00,4.70,4.70,
9,3,2020,26.55,21.95,32.20,67.23,41.16,86.90,1.52,25.12,0.00,5.51,5.51,
10,3,2020,26.40,20.93,31.56,69.57,49.13,85.10,1.61,18.90,0.00,4.37,4.37,
11,3,2020,27.16,23.05,32.27,69.07,44.84,85.80,1.67,19.54,0.00,4.67,4.67,
12,3,2020,25.03,23.15,29.18,79.39,54.70,86.20,1.15,11.55,20.07,2.72,1.22,
13,3,2020,25.45,23.21,29.55,75.75,54.82,87.70,1.22,13.39,3.81,3.04,1.37,
14,3,2020,26.26,23.29,30.31,71.81,46.86,85.40,1.30,21.41,0.25,4.57,2.06,
15,3,2020,24.55,23.22,28.69,83.35,65.86,87.80,0.87,9.52,57.15,2.07,0.93,
16,3,2020,24.31,22.93,27.93,83.33,68.06,87.70,1.14,10.63,28.96,2.30,1.03,
17,3,2020,26.45,23.49,31.88,73.04,44.76,85.90,1.14,19.36,3.56,4.27,1.92,
18,3,2020,25.63,23.27,31.09,79.20,54.55,87.80,1.39,16.72,37.59,3.74,1.68,
19,3,2020,26.53,23.18,32.26,74.25,46.03,86.00,1.50,20.93,0.00,4.75,2.14,
20,3,2020,27.50,23.33,33.56,69.12,39.52,85.70,1.62,24.80,0.00,5.71,2.57,
21,3,2020,27.90,23.80,33.78,70.35,41.71,85.20,1.33,23.66,0.00,5.30,2.39,
22,3,2020,28.15,23.63,34.95,68.13,37.95,85.80,1.14,22.68,0.00,5.14,2.31,
23,3,2020,27.74,24.24,32.60,72.01,48.31,86.40,1.54,19.77,0.00,4.57,2.05,
24,3,2020,27.36,23.87,32.47,72.65,45.68,87.30,1.38,20.99,0.25,4.70,2.11,
25,3,2020,26.29,23.31,31.38,76.99,58.75,87.40,1.66,21.43,6.86,4.53,2.04,
26,3,2020,27.06,23.14,33.05,73.98,46.02,87.70,1.34,19.62,0.00,4.47,2.01,
27,3,2020,24.57,22.31,27.31,84.14,74.05,88.50,1.00,7.67,17.78,1.67,0.75,
28,3,2020,25.86,23.17,30.26,77.54,53.43,88.30,1.40,20.21,12.45,4.27,1.92,
29,3,2020,24.55,23.33,28.52,85.84,71.61,88.10,1.05,8.70,63.00,1.92,0.87,
30,3,2020,25.23,22.04,29.95,79.76,52.75,88.60,0.76,16.23,3.30,3.28,1.48,
31,3,2020,26.26,22.57,30.33,75.76,52.58,88.30,1.48,22.85,4.83,4.73,2.13,
1,4,2020,26.14,23.42,30.80,77.46,54.91,88.20,1.42,22.55,10.41,4.65,2.09,
2,4,2020,26.08,23.18,29.61,77.69,57.70,87.90,1.35,14.55,1.02,3.24,1.46,
3,4,2020,26.32,23.82,30.83,77.96,56.65,88.10,1.01,17.06,1.78,3.56,1.60,
4,4,2020,27.42,23.14,32.31,74.46,53.40,87.60,1.19,21.42,0.00,4.48,2.02,
5,4,2020,27.51,23.85,32.47,75.69,52.56,88.30,1.31,21.50,0.00,4.59,2.06,
6,4,2020,26.35,23.13,30.47,78.08,56.67,88.70,0.98,16.75,0.25,3.47,1.56,
7,4,2020,26.42,22.91,31.55,74.65,50.82,88.30,1.03,17.48,0.76,3.75,1.69,
8,4,2020,26.52,22.47,32.28,72.97,48.54,88.20,0.95,21.32,0.00,4.40,1.98,
9,4,2020,26.97,22.91,33.54,73.61,40.54,87.70,0.93,21.38,0.00,4.60,2.07,
10,4,2020,26.94,22.38,32.82,73.68,46.28,88.10,1.14,21.64,0.00,4.64,2.09,
11,4,2020,26.97,22.79,32.57,72.65,46.53,88.00,1.29,22.48,0.00,4.85,2.18,
12,4,2020,26.59,22.61,31.54,72.89,52.23,87.70,1.43,21.89,0.00,4.65,2.09,
13,4,2020,26.51,21.93,31.84,68.49,42.98,87.80,1.28,22.97,0.00,4.94,2.22,
14,4,2020,25.94,21.39,31.90,68.90,43.73,86.20,1.20,22.76,0.00,4.85,2.18,
15,4,2020,26.44,21.18,32.93,70.70,39.37,86.40,1.37,20.86,0.00,4.83,2.17,
16,4,2020,25.20,23.37,29.52,82.67,62.68,87.80,0.87,11.62,37.08,2.47,1.11,
17,4,2020,26.49,23.52,31.38,77.11,46.55,88.50,1.36,21.52,10.41,4.66,2.10,
18,4,2020,26.26,22.81,32.35,78.21,50.71,88.10,1.02,16.90,8.38,3.69,1.66,
19,4,2020,25.25,22.98,29.18,80.96,60.32,88.20,0.94,11.54,12.70,2.50,1.13,
20,4,2020,25.93,22.60,30.89,74.84,51.88,88.20,1.36,20.90,0.25,4.42,1.99,
21,4,2020,25.71,21.76,30.77,75.26,55.02,88.20,1.24,14.53,0.51,3.27,1.47,
22,4,2020,25.31,22.71,30.80,79.51,55.98,88.00,1.29,17.44,1.27,3.76,1.69,
23,4,2020,25.87,22.52,30.49,76.66,57.78,87.80,0.94,18.14,0.00,3.66,1.65,
24,4,2020,24.40,22.90,29.86,83.90,61.31,88.60,0.52,7.63,42.67,1.65,0.74,
25,4,2020,25.53,22.02,29.92,77.46,53.08,89.20,1.42,19.07,6.10,4.06,1.83,
26,4,2020,24.18,22.80,27.34,85.78,74.38,88.60,0.90,7.29,41.40,1.57,0.71,
27,4,2020,25.61,22.83,30.27,79.53,58.09,88.50,1.09,16.18,11.94,3.39,1.53,
28,4,2020,25.53,22.53,29.93,75.70,51.46,88.60,1.17,20.98,1.27,4.29,1.93,
29,4,2020,25.47,22.37,30.05,76.34,53.33,88.40,1.35,19.78,5.08,4.15,1.87,
30,4,2020,24.42,21.92,29.01,84.00,67.12,88.70,1.29,11.90,170.69,2.58,1.16,
1,5,2020,25.57,23.54,29.31,81.50,63.29,88.80,0.88,13.94,13.46,2.84,1.28,
2,5,2020,26.25,23.17,30.37,77.71,54.64,88.70,1.21,20.18,3.81,4.15,1.87,
3,5,2020,26.04,22.30,31.45,75.53,48.17,89.00,0.94,20.76,0.00,4.26,1.92,
4,5,2020,25.84,22.96,30.53,77.83,46.99,88.60,1.24,20.00,5.08,4.29,1.93,
5,5,2020,25.83,23.07,29.90,78.82,57.40,89.20,1.40,17.80,0.76,3.78,1.70,
6,5,2020,26.12,22.72,30.73,76.87,50.67,88.70,0.99,19.43,1.78,4.00,1.80,
7,5,2020,25.73,22.88,30.10,79.10,57.28,88.10,0.78,14.43,8.89,2.96,1.33,
8,5,2020,25.76,22.25,30.58,73.58,47.09,88.10,1.03,20.23,0.00,4.20,1.89,
9,5,2020,25.56,21.78,30.40,72.66,42.47,88.20,1.19,21.35,0.00,4.53,2.04,
10,5,2020,24.21,22.48,27.87,84.96,65.94,88.60,0.74,9.24,12.70,1.93,0.87,
11,5,2020,25.16,22.57,29.07,80.25,61.31,88.50,1.26,14.72,3.05,3.12,1.41,
12,5,2020,25.05,23.12,28.52,82.48,65.55,89.00,0.95,15.06,12.95,2.98,1.34,
13,5,2020,25.43,22.91,29.21,80.36,62.21,88.20,1.17,15.84,11.94,3.26,1.47,
14,5,2020,25.56,22.50,29.74,78.71,58.93,88.70,1.37,18.33,0.51,3.80,1.71,
15,5,2020,25.49,21.92,29.45,76.08,53.58,87.90,1.23,16.09,0.76,3.48,1.57,
16,5,2020,25.33,20.97,29.81,75.82,52.21,88.80,1.20,19.62,0.25,4.04,1.82,
17,5,2020,24.86,23.01,28.56,83.40,65.30,88.40,0.68,9.71,5.59,2.01,0.91,
18,5,2020,25.74,22.97,30.15,79.46,59.27,89.00,0.98,14.97,1.52,3.12,1.40,
19,5,2020,25.97,23.31,29.99,79.55,58.07,89.10,1.25,15.93,2.29,3.41,1.54,
20,5,2020,25.06,23.16,28.02,83.04,67.62,88.20,1.04,8.57,27.43,1.94,0.87,
21,5,2020,25.24,22.42,28.85,80.83,62.94,88.00,1.08,12.78,7.87,2.71,1.22,
22,5,2020,25.09,21.98,29.77,80.33,59.25,88.50,1.06,17.61,1.52,3.56,1.60,
23,5,2020,24.92,23.05,28.36,83.77,67.96,88.50,0.91,13.41,17.53,2.67,1.20,
24,5,2020,23.92,22.52,26.61,86.09,74.14,89.20,0.75,6.26,19.05,1.34,0.60,
25,5,2020,25.56,21.97,30.61,79.42,57.21,89.50,1.07,16.00,3.81,3.36,1.51,
26,5,2020,26.16,23.48,32.07,78.84,55.06,89.20,0.84,14.65,0.25,3.13,1.41,
27,5,2020,26.97,22.68,33.13,76.34,44.58,88.50,0.80,17.93,0.00,3.84,1.73,
28,5,2020,25.89,22.62,30.83,77.97,53.75,88.60,1.23,14.64,26.17,3.31,1.49,
29,5,2020,24.14,22.20,27.39,78.74,60.58,88.30,2.04,8.44,6.35,2.43,1.09,
30,5,2020,22.89,22.04,24.37,88.02,86.30,89.20,1.74,5.41,40.39,1.23,0.55,
31,5,2020,24.23,22.57,29.47,85.63,62.71,89.30,0.78,8.86,25.65,1.96,0.88,
1,6,2020,24.71,22.39,30.19,82.12,56.54,89.40,0.78,13.84,0.25,2.87,1.29,
2,6,2020,24.48,21.82,29.77,81.43,60.09,89.30,0.89,14.76,2.54,3.00,1.35,
3,6,2020,24.66,22.21,28.93,82.00,66.03,89.00,0.86,14.35,6.86,2.83,1.27,
4,6,2020,24.77,21.67,28.73,80.61,63.59,89.40,1.21,15.53,2.29,3.16,1.42,
5,6,2020,24.10,21.14,29.22,79.43,54.98,88.90,1.12,13.76,3.05,3.00,1.35,
6,6,2020,24.28,20.82,29.48,77.95,54.33,88.70,1.40,15.17,0.25,3.39,1.52,
7,6,2020,24.00,21.10,28.40,80.80,60.93,89.00,1.16,11.51,5.08,2.54,1.14,
8,6,2020,24.06,20.93,29.05,77.97,56.31,88.50,1.22,16.72,1.02,3.48,1.57,
9,6,2020,23.53,21.54,28.13,82.84,60.38,88.80,0.75,10.09,13.46,2.13,0.96,
10,6,2020,24.69,21.67,29.05,79.06,53.80,89.10,1.31,17.20,2.29,3.65,1.64,
11,6,2020,24.53,20.94,28.70,79.38,59.18,88.70,1.29,17.55,3.30,3.57,1.61,
12,6,2020,23.91,20.03,28.65,76.97,51.72,88.20,1.23,17.45,3.56,3.65,1.64,
13,6,2020,22.93,20.19,28.46,86.20,65.48,89.50,1.83,9.86,46.99,2.46,1.11,
14,6,2020,23.00,21.31,27.59,84.85,71.98,89.40,1.13,8.83,61.47,1.91,0.86,
15,6,2020,22.27,20.81,23.86,86.98,75.84,89.30,1.47,1.86,56.64,0.82,0.37,
16,6,2020,23.61,20.28,28.38,78.15,54.10,89.10,1.43,15.59,3.05,3.40,1.53,
